2020-04-20 10:29:36 status installed libgdbm-compat4:amd64 1.18.1-4
2020-04-20 10:29:36 configure libperl5.28:amd64 5.28.1-6 <none>
2020-04-20 10:29:36 status unpacked libperl5.28:amd64 5.28.1-6
2020-04-20 10:29:36 status half-configured libperl5.28:amd64 5.28.1-6
2020-04-20 10:29:36 status installed libperl5.28:amd64 5.28.1-6
2020-04-20 10:29:36 configure perl:amd64 5.28.1-6 <none>
2020-04-20 10:29:36 status unpacked perl:amd64 5.28.1-6
2020-04-20 10:29:36 status half-configured perl:amd64 5.28.1-6
2020-04-20 10:29:36 status installed perl:amd64 5.28.1-6
2020-04-20 10:29:36 trigproc libc-bin:amd64 2.28-10 <none>
2020-04-20 10:29:36 status half-configured libc-bin:amd64 2.28-10
2020-04-20 10:29:37 status installed libc-bin:amd64 2.28-10
2020-04-20 10:34:29 startup archives unpack
2020-04-20 10:34:29 install php-json-schema:all <none> 5.2.6-1
2020-04-20 10:34:29 status half-installed php-json-schema:all 5.2.6-1
2020-04-20 10:34:29 status unpacked php-json-schema:all 5.2.6-1
2020-04-20 10:34:30 status unpacked php-json-schema:all 5.2.6-1
2020-04-20 10:34:30 install php-composer-ca-bundle:all <none> 1.1.0-1
2020-04-20 10:34:30 status half-installed php-composer-ca-bundle:all 1.1.0-1
2020-04-20 10:34:30 status unpacked php-composer-ca-bundle:all 1.1.0-1
2020-04-20 10:34:30 status unpacked php-composer-ca-bundle:all 1.1.0-1
2020-04-20 10:34:30 install php-composer-semver:all <none> 1.4.2-1
2020-04-20 10:34:30 status half-installed php-composer-semver:all 1.4.2-1
2020-04-20 10:34:30 status unpacked php-composer-semver:all 1.4.2-1
2020-04-20 10:34:30 status unpacked php-composer-semver:all 1.4.2-1
2020-04-20 10:34:30 install php-composer-spdx-licenses:all <none> 1.3.0-1
2020-04-20 10:34:30 status half-installed php-composer-spdx-licenses:all 1.3.0-1
2020-04-20 10:34:30 status unpacked php-composer-spdx-licenses:all 1.3.0-1
2020-04-20 10:34:30 status unpacked php-composer-spdx-licenses:all 1.3.0-1
2020-04-20 10:34:30 install jsonlint:all <none> 1.7.1-1
2020-04-20 10:34:30 status half-installed jsonlint:all 1.7.1-1
2020-04-20 10:34:30 status unpacked jsonlint:all 1.7.1-1
2020-04-20 10:34:30 status unpacked jsonlint:all 1.7.1-1
2020-04-20 10:34:30 install php-symfony-polyfill-mbstring:all <none> 1.6.0-2
2020-04-20 10:34:30 status half-installed php-symfony-polyfill-mbstring:all 1.6.0-2
2020-04-20 10:34:30 status unpacked php-symfony-polyfill-mbstring:all 1.6.0-2
2020-04-20 10:34:30 status unpacked php-symfony-polyfill-mbstring:all 1.6.0-2
2020-04-20 10:34:30 install php-psr-log:all <none> 1.0.2-1
2020-04-20 10:34:30 status half-installed php-psr-log:all 1.0.2-1
2020-04-20 10:34:30 status unpacked php-psr-log:all 1.0.2-1
2020-04-20 10:34:30 status unpacked php-psr-log:all 1.0.2-1
2020-04-20 10:34:30 install php-symfony-debug:all <none> 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:30 status half-installed php-symfony-debug:all 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:30 status unpacked php-symfony-debug:all 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:30 status unpacked php-symfony-debug:all 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:30 install php-symfony-console:all <none> 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:30 status half-installed php-symfony-console:all 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:30 status unpacked php-symfony-console:all 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:30 status unpacked php-symfony-console:all 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:30 install php-symfony-finder:all <none> 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:30 status half-installed php-symfony-finder:all 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:30 status unpacked php-symfony-finder:all 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:30 status unpacked php-symfony-finder:all 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:30 install php-symfony-process:all <none> 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:30 status half-installed php-symfony-process:all 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:30 status unpacked php-symfony-process:all 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:30 status unpacked php-symfony-process:all 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:30 install php-symfony-filesystem:all <none> 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:30 status half-installed php-symfony-filesystem:all 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:30 status unpacked php-symfony-filesystem:all 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:30 status unpacked php-symfony-filesystem:all 3.4.6+dfsg-1ubuntu0.1
